x0,x1,x2
460.0,348.0,476.8
460.0,348.0,478.7
460.0,348.0,480.7
460.0,348.0,482.0
460.0,348.0,483.8
460.0,348.0,485.4
460.0,348.0,487.0
460.0,348.0,488.6
460.0,348.0,490.2
460.0,348.0,491.8
460.0,348.0,493.5
460.0,348.0,495.2
460.0,348.0,496.8
460.0,348.0,498.5
460.0,348.0,500.3
460.0,348.0,502.0
460.0,348.0,503.9
460.0,348.0,505.8
460.0,348.0,507.4
460.0,348.0,508.8
460.0,348.0,510.2
460.0,348.0,511.8
460.0,348.0,513.5
460.0,348.0,515.3
460.0,348.0,516.8
460.0,348.0,518.5
460.0,348.0,520.2
460.0,348.0,521.8
460.0,348.0,523.6
460.0,348.0,525.4
460.0,348.0,527.2
460.0,348.0,528.9
460.0,348.0,530.2
460.0,348.0,531.8
460.0,348.0,533.5
460.0,348.0,535.2
460.0,348.0,536.8
460.0,348.0,538.5
460.0,348.0,540.2
460.0,348.0,541.8
460.0,348.0,543.5
460.0,348.0,545.2
458.0,348.0,546.8
454.0,348.0,548.6
451.0,344.0,550.3
451.0,327.0,551.9
451.0,319.0,553.5
451.0,313.0,555.2
451.0,308.0,556.9
451.0,306.0,558.5
452.0,304.0,560.3
458.0,304.0,561.9
462.0,304.0,563.5
466.0,304.0,565.1
471.0,304.0,566.8
476.0,304.0,568.5
478.0,309.0,570.1
480.0,315.0,571.8
480.0,322.0,573.5
480.0,326.0,575.1
480.0,330.0,576.8
480.0,334.0,578.5
472.0,338.0,580.2
462.0,338.0,581.8
454.0,338.0,583.5
442.0,338.0,585.2
434.0,338.0,586.8
422.0,338.0,588.6
402.0,338.0,590.5
382.0,336.0,592.2
357.0,335.0,593.7
335.0,335.0,595.2
308.0,335.0,596.8
295.0,335.0,598.4
284.0,335.0,600.1
274.0,335.0,601.8
264.0,335.0,603.5
254.0,335.0,605.2
244.0,335.0,606.9
232.0,335.0,608.5
225.0,335.0,610.3
218.0,335.0,611.8
206.0,333.0,613.6
199.0,331.0,615.3
193.0,329.0,616.8
189.0,328.0,618.5
184.0,327.0,620.2
182.0,325.0,621.8
180.0,324.0,623.5
178.0,321.0,625.1
176.0,319.0,626.8
176.0,318.0,628.5
176.0,316.0,630.2
176.0,313.0,631.8
177.0,311.0,633.5
182.0,311.0,635.2
189.0,311.0,636.9
191.0,311.0,638.6
194.0,311.0,640.8
194.0,313.0,641.9
194.0,319.0,643.5
194.0,325.0,645.2
194.0,328.0,646.9
188.0,334.0,648.5
183.0,337.0,650.1
179.0,339.0,651.8
177.0,339.0,653.5
174.0,339.0,655.1
172.0,339.0,656.9
170.0,339.0,658.6
167.0,339.0,660.2
167.0,339.0,661.8
167.0,338.0,663.5
167.0,329.0,665.2
167.0,323.0,666.9
173.0,319.0,668.5
181.0,317.0,670.4
186.0,317.0,672.1
190.0,317.0,673.9
195.0,317.0,675.6
197.0,317.0,677.2
199.0,322.0,678.7
199.0,327.0,680.3
199.0,333.0,681.9
199.0,340.0,683.5
198.0,346.0,685.2
190.0,350.0,686.9
180.0,353.0,688.6
177.0,353.0,690.2
174.0,353.0,691.8
172.0,353.0,693.6
169.0,353.0,695.1
169.0,353.0,696.8
169.0,352.0,698.6
169.0,344.0,700.2
170.0,338.0,701.8
177.0,334.0,703.7
185.0,331.0,705.5
193.0,329.0,707.5
195.0,329.0,708.8
201.0,329.0,710.4
204.0,329.0,712.0
205.0,329.0,713.6
206.0,329.0,715.2
206.0,329.0,716.9
206.0,331.0,718.5
206.0,334.0,720.2
206.0,337.0,721.9
206.0,342.0,723.5
201.0,345.0,725.2
194.0,347.0,726.8
189.0,347.0,728.5
184.0,347.0,730.2
182.0,347.0,731.9
180.0,347.0,733.6
178.0,347.0,735.2
178.0,347.0,736.8
178.0,347.0,738.6
178.0,340.0,740.2
178.0,334.0,741.8
178.0,330.0,743.6
184.0,326.0,745.2
193.0,323.0,746.8
197.0,323.0,748.6
200.0,323.0,750.2
202.0,323.0,751.8
202.0,323.0,753.5
202.0,323.0,755.1
202.0,324.0,756.9
202.0,327.0,758.5
202.0,329.0,760.1
202.0,331.0,761.8
202.0,337.0,763.5
196.0,339.0,765.1
189.0,339.0,766.8
185.0,339.0,768.5
180.0,339.0,770.2
178.0,339.0,771.8
177.0,339.0,773.5
174.0,336.0,775.1
172.0,328.0,776.8
170.0,322.0,778.5
167.0,315.0,780.2
165.0,311.0,781.9
163.0,307.0,783.5
159.0,301.0,785.2
151.0,292.0,786.8
146.0,283.0,788.5
139.0,275.0,790.2
130.0,266.0,791.9
124.0,258.0,793.7
114.0,246.0,795.6
107.0,237.0,797.3
99.0,230.0,799.1
93.0,223.0,800.6
85.0,217.0,802.1
81.0,214.0,803.8
77.0,212.0,805.4
71.0,209.0,807.1
68.0,207.0,808.8
66.0,205.0,810.5
64.0,204.0,812.1
61.0,201.0,813.8
59.0,199.0,815.5
58.0,196.0,817.3
57.0,191.0,819.0
57.0,187.0,820.9
57.0,178.0,822.8
57.0,176.0,823.9
57.0,168.0,825.6
57.0,165.0,827.1
57.0,162.0,829.1
59.0,162.0,831.1
62.0,162.0,832.4
66.0,162.0,834.0
69.0,162.0,835.7
71.0,162.0,837.2
73.0,165.0,838.8
73.0,173.0,840.4
73.0,181.0,842.2
73.0,185.0,843.8
73.0,189.0,845.5
73.0,192.0,847.1
73.0,195.0,848.8
70.0,197.0,850.5
68.0,198.0,852.1
65.0,198.0,853.8
63.0,198.0,855.5
61.0,198.0,857.2
59.0,198.0,858.8
57.0,198.0,860.5
57.0,198.0,862.1
57.0,198.0,863.8
57.0,197.0,865.5
57.0,193.0,867.1
59.0,191.0,868.9
62.0,189.0,870.4
67.0,189.0,872.1
70.0,189.0,873.8
72.0,189.0,875.5
75.0,189.0,877.1
76.0,191.0,878.8
76.0,197.0,880.6
76.0,205.0,882.1
76.0,217.0,883.8
76.0,224.0,885.4
76.0,228.0,887.1
72.0,231.0,888.8
69.0,232.0,890.5
66.0,232.0,892.1
61.0,232.0,893.8
58.0,232.0,895.5
56.0,231.0,897.2
56.0,223.0,898.8
56.0,214.0,900.5
56.0,207.0,902.2
56.0,203.0,903.8
56.0,199.0,905.5
64.0,194.0,907.1
70.0,193.0,908.9
75.0,193.0,910.5
80.0,193.0,912.1
81.0,193.0,913.8
81.0,193.0,915.6
81.0,193.0,917.1
81.0,198.0,918.8
81.0,204.0,920.4
81.0,209.0,922.2
81.0,217.0,923.7
81.0,220.0,925.4
80.0,222.0,927.1
77.0,225.0,928.8
75.0,226.0,930.4
73.0,226.0,932.1
70.0,226.0,933.8
68.0,226.0,935.4
68.0,226.0,937.2
68.0,226.0,938.8
68.0,220.0,940.5
68.0,217.0,942.2
74.0,215.0,943.9
83.0,215.0,945.5
87.0,215.0,947.2
89.0,215.0,948.8
91.0,215.0,950.5
92.0,215.0,952.2
92.0,216.0,953.9
92.0,221.0,955.4
92.0,223.0,957.2
92.0,223.0,958.8
92.0,223.0,960.5
92.0,223.0,962.2
92.0,223.0,963.8
92.0,223.0,965.5
92.0,223.0,967.2
92.0,223.0,968.9
92.0,223.0,970.5
92.0,223.0,972.2
92.0,223.0,973.8
92.0,223.0,975.5
92.0,223.0,977.2
92.0,223.0,978.8
92.0,223.0,980.5
92.0,223.0,982.1
92.0,223.0,983.8
92.0,223.0,985.4
92.0,223.0,987.2
92.0,223.0,989.1
92.0,223.0,990.7
92.0,223.0,992.5
92.0,223.0,993.9
92.0,223.0,995.5
92.0,223.0,997.2
92.0,223.0,998.8
